architecture,seed,concept,generator_uses_concept,heldout_probe_auc,encoded_screen,model_effect_mean_tv,model_effect_max_tv,sensitive_screen,matches_generator_dependence,tcav_positive_fraction,orthogonal_cav_erasure_mean_tv,interpretation
GATv2,11,unused,False,1.0,True,5.527000757865608e-05,6.859255518065766e-05,False,True,0.25,1.6071893469415954e-06,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,11,relational,True,1.0,True,0.9996579885482788,0.9997809529304504,True,True,0.5,0.0002994261449202895,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,11,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,23,used,True,1.0,True,0.9995355606079102,0.9998494386672974,True,True,0.5,0.08780067414045334,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,23,unused,False,1.0,True,0.000129259453387931,0.000271254510153085,False,True,0.75,1.3502100955520291e-05,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,23,relational,True,1.0,True,0.9993573427200317,0.9995902180671692,True,True,0.5,0.009296591393649578,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,23,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,37,used,True,1.0,True,0.9996349811553955,0.9999243021011353,True,True,0.5,0.05661609768867493,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,37,unused,False,1.0,True,0.00012603527284227312,0.00020086311269551516,False,True,0.5,1.952374805114232e-05,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,37,relational,True,1.0,True,0.9995430111885071,0.9996181726455688,True,True,0.5,0.0436236746609211,descriptive_screen_not_equivalence_or_clinical_validation
GATv2,37,irrelevant,False,0.5,False,0.0,0.0,False,True,,0.0,descriptive_screen_not_equivalence_or_clinical_validation
