image_id,description_libre,concept_principal,autres_concepts,interpretable_oui_non,confiance_1_a_5,commentaire
R039,Faisceaux collagéniques serrés avec un seul petit noyau stromal visible dans le champ.,stroma collagénique dense,faible cellularité,oui,5,Motif stromal prédominant.
R040,Collagène disposé en faisceaux tourbillonnants avec très peu de cellules.,stroma collagénique dense,architecture fibreuse tourbillonnante,oui,5,Motif fibreux très net.
R041,Bord d'un adipocyte ou espace adipeux avec septum fibreux et noyau stromal allongé.,interface adipo-stromale,septum fibreux; cellule fusiforme stromale,oui,4,Le motif principal est la jonction tissu adipeux-stroma.
R042,Cellules fusiformes allongées dans un stroma collagénique situé entre des structures glandulaires.,cellules fusiformes stromales,stroma collagénique; structures glandulaires adjacentes,oui,5,Motif stromal cellulaire bien visible.
R043,"Petit élément fusiforme/allongé dans un stroma pâle, au voisinage immédiat d'un tissu épithélioïde très cellulaire.",cellule fusiforme stromale,interface épithélio-stromale,oui,3,Champ restreint et contraste faible; identité cellulaire non spécifique.
R044,Matrice collagénique ondulée avec une cellule stromale fusiforme ou étoilée isolée.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,5,Aspect stromal très caractéristique.
R045,"Zone de collagène dense et ondulé, très faiblement cellulaire, adjacente à un amas glandulaire.",stroma collagénique dense,stroma périglandulaire,oui,5,Patch essentiellement stromal.
R046,"Structure allongée tubulaire ou canaliculaire dans un stroma collagénique pâle, avec plusieurs profils ovalaires.",structure tubulaire stromale,stroma collagénique,oui,2,"Nature vasculaire, ductale ou autre non déterminable avec ce seul petit champ."
R047,"Population épithélioïde très dense composée de nombreux noyaux ronds à ovalaires, avec peu de stroma visible.",amas épithélioïde très cellulaire,architecture solide; atypie nucléaire morphologique,oui,5,Compartiment épithélioïde dominant.
R048,Cellules épithéliales glandulaires avec cytoplasme clair/vacuolisé et petites lumières.,épithélium glandulaire,vacuolisation cytoplasmique; petites lumières,oui,5,Motif glandulaire net.
R049,Collagène dense contenant un noyau fusiforme allongé au centre du patch.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,5,Motif stromal simple et lisible.
R050,Faisceaux épais et ondulés de collagène avec très faible cellularité.,stroma collagénique dense,faible cellularité,oui,5,Aucun autre motif majeur dans le patch.
R051,Stroma collagénique avec noyau fusiforme au voisinage immédiat d'une structure glandulaire.,stroma collagénique périépithélial,cellule fusiforme stromale; interface épithélio-stromale,oui,4,Le patch est surtout stromal malgré la proximité de l'épithélium.
R052,"Stroma fibreux cellulaire entre des nids glandulaires, contenant plusieurs noyaux fusiformes.",stroma fibrocellulaire,cellules fusiformes stromales; structures glandulaires adjacentes,oui,5,Motif stromal interglandulaire bien visible.
R053,Image locale très floue et peu structurée; aucun motif cellulaire ou tissulaire ne peut être défini de façon fiable.,indéterminé,,non,1,Flou important et champ insuffisant pour une annotation morphologique robuste.
R054,"Zone pâle de collagène ondulé avec rares noyaux fusiformes, adjacente à une structure glandulaire.",stroma collagénique dense,rare cellule fusiforme; stroma périglandulaire,oui,5,Motif essentiellement stromal.
R055,Bord d'une structure glandulaire avec cellules épithéliales d'un côté et stroma collagénique de l'autre.,interface épithélio-stromale,épithélium glandulaire; stroma collagénique,oui,4,Zone de contact clairement représentée.
R056,Petit foyer de cellules épithélioïdes avec une petite lumière ou vacuole au sein d'un stroma collagénique abondant.,petite structure glandulaire dans stroma,interface épithélio-stromale; stroma collagénique,oui,3,Structure de petite taille; architecture glandulaire probable mais non certaine.
R057,"Stroma fibreux assez cellulaire entre plusieurs structures épithéliales, avec noyaux fusiformes et ovalaires.",stroma fibrocellulaire interglandulaire,cellules fusiformes stromales; interface épithélio-stromale,oui,4,Le contexte est mixte mais le centre du patch est stromal.
R058,Frontière entre un amas glandulaire épithélial et un stroma collagénique contenant des noyaux fusiformes.,interface épithélio-stromale,épithélium glandulaire; cellules fusiformes stromales,oui,5,Interface bien définie.
R059,Stroma très pâle constitué de longs faisceaux de collagène avec presque aucune cellule.,stroma collagénique dense,faible cellularité,oui,5,Motif stromal pur malgré une coloration faible.
R060,Cellules épithélioïdes serrées avec noyaux irréguliers et organisation glandulaire ou solide complexe.,épithélium glandulaire atypique,forte cellularité; petites lumières irrégulières,oui,5,Morphologie épithéliale dominante; pas de diagnostic forcé.
R061,"Collagène dense et éosinophile, peu cellulaire, avec un petit espace allongé clair dans le stroma.",stroma collagénique dense,petit espace tubulaire/vasculaire possible,oui,4,La nature du petit espace clair n'est pas déterminable.
R062,"Zone de collagène pâle, ondulé et très faiblement cellulaire au voisinage de structures glandulaires.",stroma collagénique dense,stroma périglandulaire,oui,5,Patch presque exclusivement stromal.
R063,Noyau stromal fusiforme sombre entouré de faisceaux de collagène ondulés.,cellule fusiforme stromale dans collagène,stroma collagénique dense,oui,5,Motif cellulaire stromal focal très net.
R064,Quelques petites cellules mononucléées rondes ou ovalaires disposées le long d'une jonction avec du tissu adipeux.,petites cellules mononucléées à l'interface adipo-stromale,interface adipo-stromale; stroma fibreux,oui,4,Un sous-typage inflammatoire ne peut pas être affirmé sur ce patch seul.
R065,Petit amas ou cordon épithélioïde enchâssé dans un stroma collagénique dense.,petit amas épithélioïde dans stroma,interface épithélio-stromale; stroma collagénique dense,oui,4,Le patch met surtout en évidence l'inclusion d'un petit foyer cellulaire dans la matrice fibreuse.
R066,"Collagène dense en faisceaux enchevêtrés ou tourbillonnants, avec très peu de cellules.",stroma collagénique dense,architecture fibreuse tourbillonnante,oui,5,Motif stromal pur.
R067,"Matrice collagénique homogène et dense, pratiquement acellulaire dans la zone sélectionnée.",stroma collagénique dense,faible cellularité,oui,5,Très peu d'éléments cellulaires dans le patch.
R068,"Amas de grandes cellules épithélioïdes éosinophiles à noyaux volumineux, en bordure d'un faisceau fibreux.",foyer épithélioïde atypique,interface épithélio-stromale; atypie nucléaire morphologique,oui,4,La zone sélectionnée est cellulaire et adjacente au stroma; pas de conclusion diagnostique.
